longitude,latitude,stype,fwy,direc,abs_pm,state_pm,size
-121.321505,38.573027,ML,50,W,14.319,R8.685,3
-121.321383,38.572854,ML,50,E,14.319,8.685,3
-121.379661,38.558835,ML,50,W,10.956,5.322,3
-121.361758,38.560673,ML,50,W,11.933,R6.299,3
-121.36168,38.560476,ML,50,E,11.933,R6.299,3
-121.242093,38.619887,ML,50,W,19.872,14.202,3
-121.242008,38.619685,ML,50,E,19.87,14.2,3
-121.394106,38.557205,ML,50,W,10.166,R4.532,3
-121.393992,38.556988,ML,50,E,10.168,R4.534,3
-121.456903,38.584731,ML,51,N,2.092,2.092,3
-121.472642,38.560283,ML,51,N,0.111,0.111,3
-121.400009,38.631273,FR,51,S,6.851,6.869,3
-121.697581,38.5522,ML,80,W,74.694,2.507,3
-121.697581,38.5522,OR,80,W,74.694,2.507,3
-121.697581,38.5522,FR,80,W,74.694,2.507,3
-120.94421,39.114317,ML,80,E,135.932,34.447,3
-120.944331,39.114294,ML,80,W,135.932,34.447,3
-121.695597,38.552253,ML,80,E,74.792,2.605,3
-121.695597,38.552253,OR,80,E,74.792,2.605,3
-121.695597,38.552253,FR,80,E,74.792,2.605,3
-121.693658,38.55267,ML,80,E,74.901,2.714,3
-121.692126,38.553139,OR,80,E,74.99,2.803,3
-121.269079,38.609417,ML,50,E,18.244,12.574,3
-121.270954,38.608682,ML,50,E,18.13,12.460,3
-121.271469,38.60874,ML,50,W,18.106,12.436,3
-121.271452,38.608746,OR,50,W,18.107,12.437,3
-121.26914,38.609618,FR,50,W,18.245,12.575,3
-121.271469,38.60874,OR,50,W,18.106,12.436,3
-121.395775,38.424808,OR,99,N,288.379,13.909,3
-121.388824,38.409665,OR,99,N,287.271,12.801,3
-121.394785,38.422588,OR,99,N,288.217,13.747,3
-121.394785,38.422588,FR,99,N,288.217,13.747,3
-121.449053,38.585989,ML,51,N,2.529,2.529,3
-121.426465,38.611553,OR,51,S,4.751,4.769,3
-121.425301,38.612592,FR,51,S,4.848,4.866,3
-121.428381,38.609855,OR,51,S,4.594,4.612,3
-121.443024,38.597649,FR,51,N,3.411,3.411,3
-121.443024,38.597649,ML,51,N,3.411,3.411,3
-121.438281,38.601001,ML,51,S,3.763,3.763,3
-121.438056,38.60135,ML,160,S,49.279,46.678,3
-121.625883,38.165058,FR,160,N,15.868,3.758,3
-121.381619,38.645697,ML,80,W,94.358,R10.733,3
-121.381619,38.645697,OR,80,W,94.358,R10.733,3
-121.400686,38.639643,OR,80,W,93.202,M9.297,3
-121.311747,38.70566,OR,80,W,100.017,16.517,3
-121.309389,38.707798,OR,80,W,100.212,16.712,3
-121.47281,38.559913,FF,51,N,0.081,0.081,3
-121.472679,38.560201,FR,51,N,0.105,0.105,3
-121.290759,38.724578,OR,80,W,101.749,0.249,3
-121.289214,38.725984,OR,80,W,101.877,0.377,3
-121.224234,38.787309,ML,80,W,107.449,5.949,3
-121.224234,38.787309,OR,80,W,107.449,5.949,3
-121.113672,38.643465,ML,50,W,27.228,21.558,3
-121.113672,38.643465,OR,50,W,27.228,21.558,3
-121.116814,38.643335,ML,50,W,27.053,21.383,3
-121.117466,38.643307,OR,50,W,27.018,21.348,3
-121.112271,38.643258,ML,50,E,27.309,21.639,3
-120.161314,39.34303,ML,80,E,187.691,17.126,3
-120.161488,39.343101,ML,80,W,187.946,17.125,3
-121.199603,38.639623,OR,50,W,22.529,16.859,3
-121.448474,38.557621,ML,50,E,7.047,R1.413,3
-120.034939,39.422168,ML,80,E,200.071,29.506,3
-121.269079,38.609417,OR,50,E,18.244,12.574,3
-121.270954,38.608682,OR,50,E,18.13,12.460,3
-121.572252,39.121638,ML,70,E,19.311,R11.064,3
-121.410326,38.553402,ML,50,E,9.249,R3.615,3
-121.116385,38.643088,ML,50,E,27.075,21.405,3
-121.116068,38.643106,OR,50,E,27.092,21.422,3
-121.336101,38.683477,ML,80,W,97.998,14.498,3
-121.336101,38.683477,OR,80,W,97.998,14.498,3
-121.336101,38.683477,FR,80,W,97.998,14.498,3
-121.33798,38.681781,ML,80,W,97.843,14.343,3
-121.33798,38.681781,OR,80,W,97.843,14.343,3
-121.335012,38.683947,ML,80,E,98.074,14.574,3
-121.335012,38.683947,OR,80,E,98.074,14.574,3
-121.336967,38.682188,ML,80,E,97.912,14.412,3
-121.336967,38.682188,OR,80,E,97.912,14.412,3
-121.336967,38.682188,FR,80,E,97.912,14.412,3
-121.359735,38.661506,ML,80,W,96.015,12.515,3
-121.359735,38.661506,OR,80,W,96.015,12.515,3
-121.361406,38.659994,ML,80,W,95.877,12.377,3
-121.361406,38.659994,OR,80,W,95.877,12.377,3
-121.421128,38.472569,ML,99,S,291.947,17.502,3
-121.421128,38.472569,OR,99,S,291.947,17.502,3
-121.421128,38.472569,FR,99,S,291.947,17.502,3
-121.546334,38.60021,ML,80,E,84.066,0.161,3
-121.384187,38.644777,ML,80,E,94.205,R10.3,3
-121.451139,38.600099,ML,160,N,48.588,45.987,3
-121.288788,38.590016,ML,50,E,16.456,R10.822,3
-121.578333,38.574032,ML,80,E,81.316,9.129,3
-121.5777,38.57412,OR,80,E,81.352,9.165,3
-121.40731,38.554083,ML,50,E,9.419,R3.785,3
-121.40731,38.554083,OR,50,E,9.419,R3.785,3
-121.410326,38.553402,OR,50,E,9.249,R3.615,3
-121.451139,38.600099,OR,160,N,48.588,45.987,3
-121.451139,38.600099,FR,160,N,48.588,45.987,3
-121.450708,38.60025,ML,160,S,48.588,45.987,3
-121.415948,38.624689,ML,51,S,5.892,5.91,3
-121.418548,38.623445,FR,51,S,5.729,5.747,3
-121.416935,38.468819,FR,99,N,291.631,17.161,3
-121.416017,38.46754,OR,99,S,291.502,17.057,3
-121.416017,38.46754,ML,99,S,291.502,17.057,3
-121.467078,38.573898,FR,51,S,1.097,1.097,3
-121.558708,38.575318,FF,50,W,0.576,0.576,3
-121.432876,38.605305,OR,51,N,4.224,4.224R,3
-121.433599,38.605094,OR,51,S,4.162,4.162R,3
-121.433281,38.605397,FR,51,S,4.189,4.189L,3
-121.433834,38.604246,FR,51,N,4.139,4.139R,3
-121.491193,38.443625,ML,5,S,508.554,13.261,3
-121.335447,38.566218,OR,50,E,13.433,R7.799,3
-121.335447,38.566218,ML,50,E,13.433,R7.799,3
-121.410983,38.457616,OR,99,S,290.763,16.318,3
-121.410983,38.457616,FR,99,S,290.763,16.318,3
-121.410983,38.457616,ML,99,S,290.763,16.318,3
-121.395078,38.422772,OR,99,S,288.209,13.764,3
-121.395078,38.422772,ML,99,S,288.209,13.764,3
-121.391936,38.41632,ML,99,N,287.759,13.289,3
-121.391936,38.41632,ML,99,N,287.759,13.289,3
-121.337216,38.565351,ML,50,E,13.32,R7.686,3
-121.337216,38.565351,ML,50,E,13.32,R7.686,3
-121.285685,38.787222,OR,65,S,66.907,R7.189,3
-121.285685,38.787222,FR,65,S,66.907,R7.189,3
